slide_id,img_id,tumor
2019-08974-1-5-5_2019-05-28 23_17_50-lv1-33952-9759-6526-5268,2019-08974-1-5-5_2019-05-28 23_17_50-lv1-33952-9759-6526-5268p0018.png,0
2019-06-11 01_00_50-lv1-1956-12720-11095-7901,2019-06-11 01_00_50-lv1-1956-12720-11095-7901p0079.png,0
2019-06-11 00_58_36-lv1-820-6042-6546-12714,2019-06-11 00_58_36-lv1-820-6042-6546-12714p0089.png,0
2019-10327-1-1-1_2019-05-28 17_55_39-lv1-47692-11609-5464-5695,2019-10327-1-1-1_2019-05-28 17_55_39-lv1-47692-11609-5464-5695p0026.png,0
2019-06-11 01_00_50-lv1-1956-12720-11095-7901,2019-06-11 01_00_50-lv1-1956-12720-11095-7901p0050.png,0
2019-06-11 09_15_18-lv1-14414-13849-6581-6338,2019-06-11 09_15_18-lv1-14414-13849-6581-6338p0017.png,0
2019-07805-1-1-1_2019-05-29 05_23_08-lv1-28048-27815-6537-5899,2019-07805-1-1-1_2019-05-29 05_23_08-lv1-28048-27815-6537-5899p0016.png,0
2019-06-11 00_58_36-lv1-7052-20394-9882-10259,2019-06-11 00_58_36-lv1-7052-20394-9882-10259p0088.png,0
2019-08974-1-4-4_2019-05-28 23_27_16-lv1-43017-11764-6185-6306,2019-08974-1-4-4_2019-05-28 23_27_16-lv1-43017-11764-6185-6306p0020.png,0
2019-07501-1-1-1_2019-05-29 08_22_25-lv1-9661-18329-4972-6041,2019-07501-1-1-1_2019-05-29 08_22_25-lv1-9661-18329-4972-6041p0007.png,0
2019-07503-1-1-1_2019-05-29 06_57_56-lv1-43783-9340-4730-4370,2019-07503-1-1-1_2019-05-29 06_57_56-lv1-43783-9340-4730-4370p0001.png,0
2019-10732-1-4-4_2019-05-28 16_46_57-lv1-30727-24050-5932-6576,2019-10732-1-4-4_2019-05-28 16_46_57-lv1-30727-24050-5932-6576p0043.png,0
2019-10732-1-6-6_2019-05-28 16_33_17-lv1-43103-2848-6491-8333,2019-10732-1-6-6_2019-05-28 16_33_17-lv1-43103-2848-6491-8333p0015.png,0
2019-08980-1-2-2_2019-05-28 21_32_39-lv1-68883-9330-4175-5937,2019-08980-1-2-2_2019-05-28 21_32_39-lv1-68883-9330-4175-5937p0011.png,0
D20181047302_2019-06-10 11_38_18-lv1-29203-11848-4255-4400,D20181047302_2019-06-10 11_38_18-lv1-29203-11848-4255-4400p0010.png,0
1902160001_2019-06-11 12_36_32-lv1-44190-20016-5916-4469,1902160001_2019-06-11 12_36_32-lv1-44190-20016-5916-4469p0008.png,0
2019-11827-1-1-1_2019-05-28 14_14_04-lv1-37745-31126-5181-7796,2019-11827-1-1-1_2019-05-28 14_14_04-lv1-37745-31126-5181-7796p0022.png,0
2019-10737-1-6-6_2019-05-28 15_47_35-lv1-19582-23423-8743-5611,2019-10737-1-6-6_2019-05-28 15_47_35-lv1-19582-23423-8743-5611p0053.png,0
2019-08979-1-1-1_2019-05-28 22_36_37-lv1-43414-9050-8560-10324,2019-08979-1-1-1_2019-05-28 22_36_37-lv1-43414-9050-8560-10324p0022.png,0
2019-06-11 01_00_50-lv1-1956-12720-11095-7901,2019-06-11 01_00_50-lv1-1956-12720-11095-7901p0014.png,0
1902386001_2019-06-11 12_18_33-lv1-31089-11000-1463-1314,1902386001_2019-06-11 12_18_33-lv1-31089-11000-1463-1314p0001.png,0
2019-10737-1-4-4_2019-05-28 16_02_11-lv1-21062-7815-8844-9859,2019-10737-1-4-4_2019-05-28 16_02_11-lv1-21062-7815-8844-9859p0052.png,0
2019-05890-1-1-1_2019-05-29 04_16_22-lv1-25799-22836-8286-7829,2019-05890-1-1-1_2019-05-29 04_16_22-lv1-25799-22836-8286-7829p0033.png,0
2019-07506-1-6-6_2019-05-29 06_02_44-lv1-32194-35205-4849-3472,2019-07506-1-6-6_2019-05-29 06_02_44-lv1-32194-35205-4849-3472p0011.png,0
2019-07805-1-1-1_2019-05-29 05_23_08-lv1-34745-28963-3989-6403,2019-07805-1-1-1_2019-05-29 05_23_08-lv1-34745-28963-3989-6403p0015.png,0
2019-10946-1-1-1_2019-05-28 15_40_39-lv1-37765-7438-4110-7111,2019-10946-1-1-1_2019-05-28 15_40_39-lv1-37765-7438-4110-7111p0032.png,0
2019-05890-1-3-3_2019-05-29 04_02_08-lv1-39051-13417-5674-2541,2019-05890-1-3-3_2019-05-29 04_02_08-lv1-39051-13417-5674-2541p0002.png,0
2019-05890-1-2-2_2019-05-29 04_09_56-lv1-19180-17662-3831-3352,2019-05890-1-2-2_2019-05-29 04_09_56-lv1-19180-17662-3831-3352p0004.png,0
2019-08974-1-1-1_2019-05-28 23_56_10-lv1-33437-26695-7518-8983,2019-08974-1-1-1_2019-05-28 23_56_10-lv1-33437-26695-7518-8983p0010.png,0
2019-10732-1-2-2_2019-05-28 17_07_02-lv1-20190-24783-6547-8251,2019-10732-1-2-2_2019-05-28 17_07_02-lv1-20190-24783-6547-8251p0023.png,0
2019-07506-1-5-5_2019-05-29 06_09_14-lv1-9703-21958-4456-10026,2019-07506-1-5-5_2019-05-29 06_09_14-lv1-9703-21958-4456-10026p0044.png,0
2019-08863-1-1-1_2019-05-29 00_31_57-lv1-26775-8699-9357-4453,2019-08863-1-1-1_2019-05-29 00_31_57-lv1-26775-8699-9357-4453p0021.png,0
2019-10737-1-1-1_2019-05-28 16_25_50-lv1-28510-5095-6046-6046,2019-10737-1-1-1_2019-05-28 16_25_50-lv1-28510-5095-6046-6046p0038.png,0
2019-06-11 00_46_38-lv1-3641-3675-3908-5775,2019-06-11 00_46_38-lv1-3641-3675-3908-5775p0013.png,0
2019-10504-1-1-1_2019-05-28 17_44_07-lv1-28687-3202-15210-8684,2019-10504-1-1-1_2019-05-28 17_44_07-lv1-28687-3202-15210-8684p0003.png,0
2019-10296-1-1-1_2019-05-28 18_05_02-lv1-56485-13239-6689-7042,2019-10296-1-1-1_2019-05-28 18_05_02-lv1-56485-13239-6689-7042p0029.png,0
2019-06-11 00_58_36-lv1-7052-20394-9882-10259,2019-06-11 00_58_36-lv1-7052-20394-9882-10259p0107.png,0
2019-08857-1-1-1_2019-05-29 00_37_12-lv1-40565-10309-6524-4436,2019-08857-1-1-1_2019-05-29 00_37_12-lv1-40565-10309-6524-4436p0021.png,0
2019-10965-1-1-1_2019-05-28 15_12_46-lv1-41393-10795-4607-7564,2019-10965-1-1-1_2019-05-28 15_12_46-lv1-41393-10795-4607-7564p0007.png,0
2019-08976-1-4-4_2019-05-28 22_46_07-lv1-37015-6427-4484-5834,2019-08976-1-4-4_2019-05-28 22_46_07-lv1-37015-6427-4484-5834p0023.png,0
2019-07498-1-2-2_2019-05-29 08_30_31-lv1-46489-6224-11088-8360,2019-07498-1-2-2_2019-05-29 08_30_31-lv1-46489-6224-11088-8360p0029.png,0
2019-06-11 09_15_18-lv1-14414-13849-6581-6338,2019-06-11 09_15_18-lv1-14414-13849-6581-6338p0015.png,0
2019-08980-1-2-2_2019-05-28 21_32_39-lv1-57725-8547-5676-5415,2019-08980-1-2-2_2019-05-28 21_32_39-lv1-57725-8547-5676-5415p0007.png,0
1902160001_2019-06-11 12_36_32-lv1-42822-14737-4416-4096,1902160001_2019-06-11 12_36_32-lv1-42822-14737-4416-4096p0008.png,0
2019-07506-1-5-5_2019-05-29 06_09_14-lv1-14171-23920-4547-5510,2019-07506-1-5-5_2019-05-29 06_09_14-lv1-14171-23920-4547-5510p0018.png,0
2019-08974-1-4-4_2019-05-28 23_27_16-lv1-43017-11764-6185-6306,2019-08974-1-4-4_2019-05-28 23_27_16-lv1-43017-11764-6185-6306p0037.png,0
D20180723501_2019-06-10 13_47_37-lv1-15778-1569-3997-4912,D20180723501_2019-06-10 13_47_37-lv1-15778-1569-3997-4912p0018.png,0
2019-08974-1-1-1_2019-05-28 23_56_10-lv1-53379-9747-9811-5861,2019-08974-1-1-1_2019-05-28 23_56_10-lv1-53379-9747-9811-5861p0058.png,0
2019-08261-1-1-1_2019-05-29 01_05_21-lv1-42127-18322-5674-3309,2019-08261-1-1-1_2019-05-29 01_05_21-lv1-42127-18322-5674-3309p0004.png,0
2019-08974-1-1-1_2019-05-28 23_56_10-lv1-53379-9747-9811-5861,2019-08974-1-1-1_2019-05-28 23_56_10-lv1-53379-9747-9811-5861p0057.png,0
2019-08972-1-1-1_2019-05-29 00_06_22-lv1-43192-9800-4958-3383,2019-08972-1-1-1_2019-05-29 00_06_22-lv1-43192-9800-4958-3383p0003.png,0
2019-08857-1-1-1_2019-05-29 00_37_12-lv1-40565-10309-6524-4436,2019-08857-1-1-1_2019-05-29 00_37_12-lv1-40565-10309-6524-4436p0012.png,0
2019-10732-1-2-2_2019-05-28 17_07_02-lv1-49323-19621-6445-9065,2019-10732-1-2-2_2019-05-28 17_07_02-lv1-49323-19621-6445-9065p0032.png,0
2019-10732-1-5-5_2019-05-28 16_40_29-lv1-19373-12112-8943-4506,2019-10732-1-5-5_2019-05-28 16_40_29-lv1-19373-12112-8943-4506p0015.png,0
2019-07460-1-2-2_2019-05-29 08_55_54-lv1-37722-23968-3349-2585,2019-07460-1-2-2_2019-05-29 08_55_54-lv1-37722-23968-3349-2585p0009.png,0
D20180686301_2019-06-10 13_09_08-lv1-15727-16927-5566-6475,D20180686301_2019-06-10 13_09_08-lv1-15727-16927-5566-6475p0012.png,0
D20190284705_2019-06-10 15_10_34-lv1-15598-12648-5733-5319,D20190284705_2019-06-10 15_10_34-lv1-15598-12648-5733-5319p0017.png,0
2019-07502-1-1-1_2019-05-29 07_14_13-lv1-45320-35367-4644-7384,2019-07502-1-1-1_2019-05-29 07_14_13-lv1-45320-35367-4644-7384p0010.png,0
